SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DOB,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,Price,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2021,M,21KEENOV,11/11/2021,2,2,290,290,Thatcher,Thatcher,,,3/12/2011,12,CH,Mare,,B,,,,Giant's Causeway,Giant's Causeway,Keep the Peace,Keep the Peace,,,,,,,,City of Light,4/23/2021,"Lane's End, Agent ",,,,"Champion Equine, LLC",,,,200000,,,,,T,2011
2021,M,21KEENOV,11/11/2021,2,2,291,291,There Goes Dolly,There Goes Dolly,,,4/4/2018,5,CH,Mare,,B,,,,Distorted Humor,Distorted Humor,Frivolity,Frivolity,,,,,,,,Union Rags,5/13/2021,"Winter Quarter Farm, Agent I ",,,,Terry C. Lovingier,,,,30000,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,292,292,Rey de Aragon,Rey de Aragon,,,4/22/2021,2,DB/BR,Colt,,WN,,,,Catholic Boy,Catholic Boy,Thunder Rose,Thunder Rose,,,,,,,,,,"Nursery Place, Agent ",,,,Rascal Bloodstock,,,,60000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,293,293,Tiffany's Gal,Tiffany's Gal,,,5/18/2017,6,CH,Mare,,B,,,,Liam's Map,Liam's Map,Whisperifyoudare,Whisperifyoudare,,,,,,,,Game Winner,3/1/2021,"Nursery Place, Agent ",,,,Natalma,,,,290000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,294,294,Tiny Tina,Tiny Tina,,,5/8/2015,8,DB/BR,Mare,,B,,,,Paddy O'Prado,Paddy O'Prado,Tenacious Tina,Tenacious Tina,,,,,,,,Audible,4/7/2021,"Penn Sales, Agent for Alex Venneri ",,,,Stephen Smith,,,,75000,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,295,295,Alemam,Alemam,,,2/23/2021,2,CH,Colt,,WN,,,,Catalina Cruiser,Catalina Cruiser,Tiz a Belle,Tiz a Belle,,,,,,,,,,"Vinery Sales, Agent XIX ",,,,Machmer Hall,,,,85000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,296,296,Hold My Bourbon,Hold My Bourbon,,,3/28/2021,2,GR/RO,Colt,,WN,,,,Anchor Down,Anchor Down,Tiz May West,Tiz May West,,,,,,,,,,"Ballysax Bloodstock, Agent LV ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,297,297,Too Much Detail,Too Much Detail,,,3/5/2015,8,DB/BR,Mare,,B,,,,Overanalyze,Overanalyze,Flower Forest,Flower Forest,,,,,,,,Frosted,4/3/2021,Sierra Farm ,,,,"Chad Schumer, Agent",,,,50000,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,298,298,Pacific Quest,Pacific Quest,,,1/17/2021,2,DB/BR,Colt,,WN,,,,Nyquist,Nyquist,Tough Irma,Tough Irma,,,,,,,,,,"Scott Mallory, Agent IV ",,,,"Sonny Stokes / Hoby Kight, Agent",,,,130000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,299,299,Turns My Head (IRE),Turns My Head (IRE),,,2/25/2007,16,B,Mare,,B,,,,Montjeu (IRE),Montjeu (IRE),Egyptian Queen,Egyptian Queen,,,,,,,,Omaha Beach,3/15/2021,"Mill Ridge Sales, Agent ",,,,"Checkmate Thoroughbreds, Sir Prancealot",,,,75000,,,,,T,2007
2021,M,21KEENOV,11/11/2021,2,2,300,300,Two Sixty,Two Sixty,,,2/13/2017,6,B,Mare,,B,,,,Uncaptured,Uncaptured,Jim's Lonesa,Jim's Lonesa,,,,,,,,Constitution,2/17/2021,"Bluewater Sales LLC, Agent II ",,,,Stonestreet Thoroughbred Holdings LLC,,,,440000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,301,301,Typist,Typist,,,4/7/2017,6,B,Mare,,B,,,,Candy Ride (ARG),Candy Ride (ARG),Left a Message,Left a Message,,,,,,,,Collected,5/10/2021,Stone Farm ,,,,Out,,,,0,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,302,302,Fracing Magic,Fracing Magic,,,2/2/2021,2,GR/RO,Colt,,WN,,,,Good Magic,Good Magic,Ullapool,Ullapool,,,,,,,,,,"Vinery Sales, Agent XLIII ",,,,Hartsfield Investments,,,,200000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,303,303,,,,,3/25/2021,2,B    ,Filly,,WN,,,,Candy Ride (ARG),Candy Ride (ARG),Un Blessed,Un Blessed,,,,,,,,,,"Lane's End, Agent ",,,,Clear Ridge Stables,,,,280000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,304,304,Underaluckystar,Underaluckystar,,,2/1/2016,7,B,Mare,,B,,,,Lookin At Lucky,Lookin At Lucky,Greathearted,Greathearted,,,,,,,,Kantharos,3/20/2021,"Tarleton Farm, Agent ",,,,"R.N.A. (75,000)",,,,,,,,,T,2016
2021,M,21KEENOV,11/11/2021,2,2,305,305,Just Before Dawn,Just Before Dawn,,,2/15/2021,2,CH,Colt,,WN,,,,Justify,Justify,Unenchantedevening,Unenchantedevening,,,,,,,,,,"Lane's End, Agent ",,,,M. V. Magnier,,,,625000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,306,306,Vacherie Girl,Vacherie Girl,,,2/24/2017,6,CH,Filly,,BRP,,,,Tapiture,Tapiture,Saucey Officer,Saucey Officer,,,,,,,,,,"Taylor Made Sales Agency, Agent CLII ",,,,Julian Blaxland,,,,150000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,307,307,,,,,2/12/2021,2,B,Colt,,WN,,,,Bolt d'Oro,Bolt d'Oro,Valentine Rosie,Valentine Rosie,,,,,,,,,,"Frankfort Park Farm, Agent ",,,,Arindel,,,,80000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,308,308,Vanishing,Vanishing,,,3/5/2009,14,B,Mare,,B,,,,Lemon Drop Kid,Lemon Drop Kid,Recording,Recording,,,,,,,,Twirling Candy,2/23/2021,"Mill Ridge Sales, Agent ",,,,Out,,,,0,,,,,T,2009
2021,M,21KEENOV,11/11/2021,2,2,309,309,Vast,Vast,,,2/21/2017,6,B,Mare,,B,,,,Lea,Lea,Enth,Enth,,,,,,,,Lookin At Lucky,5/18/2021,"Claiborne Farm, Agent ",,,,Hill 'n' Dale @ Xalapa,,,,200000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,310,310,Verdura,Verdura,,,5/15/2011,12,CH,Mare,,B,,,,Smart Strike,Smart Strike,Wonder Woman,Wonder Woman,,,,,,,,Blame,3/20/2021,"Claiborne Farm, Agent ",,,,Happy Horse Stable,,,,40000,,,,,T,2011
2021,M,21KEENOV,11/11/2021,2,2,311,311,Veruca,Veruca,,,2/6/2017,6,B,Filly,,BP,,,,Twirling Candy,Twirling Candy,Henley,Henley,,,,,,,,,,"Lane's End, Agent ",,,,"R.N.A. (37,000)",,,,,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,312,312,Vexed,Vexed,,,4/5/2011,12,DB/BR,Mare,,B,,,,Arch,Arch,Cross,Cross,,,,,,,,Catholic Boy,3/5/2021,"Claiborne Farm, Agent ",,,,Arindel,,,,40000,,,,,T,2011
2021,M,21KEENOV,11/11/2021,2,2,313,313,Via Angelica,Via Angelica,,,1/24/2017,6,B,Mare,,B,,,,Quality Road,Quality Road,Angel Gift,Angel Gift,,,,,,,,Omaha Beach,3/15/2021,"Lane's End, Agent ",,,,Woodford Thoroughbreds LLC,,,,295000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,314,314,Points Is Points,Points Is Points,,,3/14/2021,2,GR/RO,Filly,,WN,,,,Constitution,Constitution,Viva Vegas,Viva Vegas,,,,,,,,,,"James B. Keogh (Grovendale), Agent XXVI ",,,,The Elkstone Group,,,,115000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,315,315,Viva Vegas,Viva Vegas,,,3/15/2014,9,GR/RO,Mare,,B,,,,The Factor,The Factor,Viva Vega,Viva Vega,,,,,,,,Constitution,4/27/2021,"James B. Keogh (Grovendale), Agent XXVI ",,,,Woodford Thoroughbreds LLC,,,,310000,,,,,T,2014
2021,M,21KEENOV,11/11/2021,2,2,316,316,,,,,2/26/2021,2,CH   ,Colt,,WN,,,,Munnings,Munnings,Vivid Storm,Vivid Storm,,,,,,,,,,"James B. Keogh (Grovendale), Agent XXXVI ",,,,The Witches of Eastwick,,,,100000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,317,317,Warrior's Way,Warrior's Way,,,5/19/2015,8,B,Mare,,B,,,,Quality Road,Quality Road,Warrior Maid,Warrior Maid,,,,,,,,Mitole,2/23/2021,"Beau Lane Bloodstock, Agent I ",,,,D.C. Goff,,,,190000,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,318,318,We Are Family,We Are Family,,,5/6/2015,8,B,Mare,,B,,,,Into Mischief,Into Mischief,Usrah,Usrah,,,,,,,,Street Sense,2/15/2021,"Hidden Brook, Agent VII ",,,,Out,,,,0,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,319,319,Risk It,Risk It,,,3/28/2021,2,CH,Colt,,WN,,,,Gun Runner,Gun Runner,Wedding Jitters,Wedding Jitters,,,,,,,,,,"Hidden Brook, Agent XIV ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,320,320,Mark Ur Way,Mark Ur Way,,,3/9/2021,2,B,Colt,,WN,,,,Union Rags,Union Rags,Weekend Away,Weekend Away,,,,,,,,,,"Taylor Made Sales Agency, Agent LXXI ",,,,"R.N.A. (115,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,321,321,Wholehearted,Wholehearted,,,1/15/2014,9,DB/BR,Mare,,B,,,,Awesome Again,Awesome Again,My Baby Baby,My Baby Baby,,,,,,,,Quality Road,3/7/2021,"Lane's End, Agent ",,,,Yushun Company Limited,,,,375000,,,,,T,2014
2021,M,21KEENOV,11/11/2021,2,2,322,322,Cajun Cruiser,Cajun Cruiser,,,3/1/2021,2,B,Colt,,WN,,,,Catalina Cruiser,Catalina Cruiser,Wild Ridge,Wild Ridge,,,,,,,,,,Blue Heaven Farm ,,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,323,323,Windward Sands,Windward Sands,,,3/29/2016,7,CH,Mare,,B,,,,Scat Daddy,Scat Daddy,Princess Consort,Princess Consort,,,,,,,,Vekoma,4/12/2021,"Mill Ridge Sales, Agent ",,,,Terrance Greer,,,,40000,,,,,T,2016
2021,M,21KEENOV,11/11/2021,2,2,324,324,,,,,3/21/2021,2,CH,Filly,,WN,,,,Ghostzapper,Ghostzapper,Winning Rhythm,Winning Rhythm,,,,,,,,,,"Vinery Sales, Agent for HREH, Raised at Springhill Equine",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,325,325,Witchy One,Witchy One,,,5/17/2008,15,CH,Mare,,B,,,,Smart Strike,Smart Strike,Prof. McGonagall,Prof. McGonagall,,,,,,,,Union Rags,4/1/2021,"Buckland Sales (Zach Madden), Agent XIX ",,,,"R.N.A. (75,000)",,,,,,,,,T,2008
2021,M,21KEENOV,11/11/2021,2,2,326,326,Sea Cruiser,Sea Cruiser,,,1/31/2021,2,CH   ,Colt,,WN,,,,Catalina Cruiser,Catalina Cruiser,Witchy One,Witchy One,,,,,,,,,,"Buckland Sales (Zach Madden), Agent XIX ",,,,"Sonny Stokes / Hoby Kight, Agent",,,,40000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,327,327,She a Baddie,She a Baddie,,,4/15/2021,2,B,Filly,,WN,,,,World of Trouble,World of Trouble,With Herself (IRE),With Herself (IRE),,,,,,,,,,"Ballysax Bloodstock, Agent LV ",,,,Safire Stables,,,,15000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,328,328,Xtra Spice,Xtra Spice,,,5/8/2012,11,B,Mare,,B,,,,Quality Road,Quality Road,Xtra Heat,Xtra Heat,,,,,,,,Game Winner,5/27/2021,"Lane's End, Agent ",,,,Paul Farr / Titletown Racing Stables,,,,70000,,,,,T,2012
2021,M,21KEENOV,11/11/2021,2,2,329,329,Bright Again,Bright Again,,,2/14/2021,2,CH,Filly,,WN,,,,Practical Joke,Practical Joke,Yankee Bright,Yankee Bright,,,,,,,,,,"Four Star Sales, Agent ",,,,Ever Union Shokai,,,,67000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,330,330,Uncle Pennybags,Uncle Pennybags,,,2/3/2021,2,B,Colt,,WN,,,,Uncle Mo,Uncle Mo,Youvegottopaytopla,Youvegottopaytopla,,,,,,,,,,"Kingswood Farm, Agent IV ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,331,331,Zarmant,Zarmant,,,3/5/2017,6,B,Mare,,B,,,,Tapizar,Tapizar,Tout Charmant,Tout Charmant,,,,,,,,Street Sense,3/1/2021,"Kingswood Farm, Agent I ",,,,"Davant Latham, Agent",,,,310000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,332,332,Umbral,Umbral,,,3/25/2021,2,B,Filly,,WN,,,,Ghostzapper,Ghostzapper,Zermatt,Zermatt,,,,,,,,,,Blue Heaven Farm ,,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,333,333,Zurlin,Zurlin,,,5/18/2016,7,B,Mare,,B,,,,Curlin,Curlin,Zapper Belle,Zapper Belle,,,,,,,,Catalina Cruiser,2/20/2021,"Pope McLean (Crestwood Farm), Agent V ",,,,Rowland Hancock,,,,75000,,,,,T,2016
2021,M,21KEENOV,11/11/2021,2,2,334,334,Abilene Trail,Abilene Trail,,,5/20/2017,6,DB/BR,Mare,,B,,,,Curlin,Curlin,Leaveminthedust,Leaveminthedust,,,,,,,,War of Will,3/6/2021,"Claiborne Farm, Agent ",,,,"St. George Stables, LLC",,,,310000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,335,335,Hero Worship,Hero Worship,,,4/3/2021,2,B,Colt,,WN,,,,Uncle Mo,Uncle Mo,Adore You,Adore You,,,,,,,,,,"Wynnstay Sales, Agent III ",,,,"R.N.A. (320,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,336,336,,,,,2/23/2021,2,B    ,Filly,,WN,,,,Yoshida (JPN),Yoshida (JPN),Afsaneh,Afsaneh,,,,,,,,,,"Beau Lane Bloodstock, Agent I ",,,,"R.N.A. (32,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,337,337,Candy Oak,Candy Oak,,,2/20/2021,2,B,Filly,,WN,,,,Twirling Candy,Twirling Candy,Ain't She Sweet,Ain't She Sweet,,,,,,,,,,"Garrencasey Sales LLC, Agent I ",,,,"R.N.A. (57,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,338,338,Alnaseem (GB),Alnaseem (GB),,,3/4/2016,7,CH,Mare,,BRP,,,,Shamardal,Shamardal,Arwaah (IRE),Arwaah (IRE),,,,,,,,,,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent VII ",,,,Freedman Brothers,,,,400000,,,,,T,2016
2021,M,21KEENOV,11/11/2021,2,2,339,339,Altamira (GB),Altamira (GB),,,1/13/2004,19,CH,Mare,,B,,,,Peintre Celebre,Peintre Celebre,Arlesienne (IRE),Arlesienne (IRE),,,,,,,,Not This Time,3/11/2021,"Claiborne Farm, Agent ",,,,"Chad Schumer, Agent",,,,28000,,,,,T,2004
2021,M,21KEENOV,11/11/2021,2,2,340,340,Amazing Ride,Amazing Ride,,,2/16/2017,6,CH,Filly,,BRP,,,,Candy Ride (ARG),Candy Ride (ARG),Endless Chatter,Endless Chatter,,,,,,,,,,"Lane's End, Agent ",,,,Hill 'n' Dale @ Xalapa,,,,135000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,341,341,Amber Isle,Amber Isle,,,2/28/2011,12,B,Mare,,B,,,,First Defence,First Defence,Family,Family,,,,,,,,Dialed In,5/20/2021,"St George Sales, Agent for Pursuit of Success LLC ",,,,Out,,,,0,,,,,T,2011
2021,M,21KEENOV,11/11/2021,2,2,342,342,Amen Hallelujah,Amen Hallelujah,,,2/11/2007,16,DB/BR,Mare,,B,,,,Montbrook,Montbrook,Sara's Success,Sara's Success,,,,,,,,War of Will,3/24/2021,"Hidden Brook, Agent XX ",,,,"R.N.A. (135,000)",,,,,,,,,T,2007
2021,M,21KEENOV,11/11/2021,2,2,343,343,Shamrock Shake,Shamrock Shake,,,3/17/2021,2,B,Colt,,WN,,,,Lookin At Lucky,Lookin At Lucky,American Sugar,American Sugar,,,,,,,,,,"Wynnstay Sales, Agent V ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,344,344,Great Forty Eight,Great Forty Eight,,,2/1/2021,2,DB/BR,Filly,,WN,,,,Constitution,Constitution,Angelo's Ashes,Angelo's Ashes,,,,,,,,,,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,345,345,Anita Partner (IRE),Anita Partner (IRE),,,3/28/2012,11,B,Mare,,B,,,,Majestic Warrior,Majestic Warrior,Offbeat Fashion (IRE),Offbeat Fashion (IRE),,,,,,,,Caravaggio,5/5/2021,"Pope McLean (Crestwood Farm), Agent X ",,,,Brandywine Farm,,,,100000,,,,,T,2012
2021,M,21KEENOV,11/11/2021,2,2,346,346,,,,,4/20/2021,2,CH,Filly,,WN,,,,Munnings,Munnings,Another World,Another World,,,,,,,,,,"St George Sales, Agent XXII ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,347,347,Anukis,Anukis,,,4/17/2018,5,DB/BR,Mare,,B,,,,Pioneerof the Nile,Pioneerof the Nile,Latin Lynx,Latin Lynx,,,,,,,,Quality Road,3/16/2021,"James B. Keogh (Grovendale), Agent LXX ",,,,Natalma,,,,310000,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,348,348,Star Maiden,Star Maiden,,,3/21/2021,2,B    ,Filly,,WN,,,,Yoshida (JPN),Yoshida (JPN),Astral Favor,Astral Favor,,,,,,,,,,"Vinery Sales, Agent for Remount Thoroughbreds ",,,,"R.N.A. (40,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,349,349,Astrological,Astrological,,,4/6/2018,5,B,Filly,,BRP,,,,Malibu Moon,Malibu Moon,Dixie Chicken,Dixie Chicken,,,,,,,,,,"Bluewater Sales LLC, Agent XIII ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,350,350,Emery,Emery,,,3/5/2021,2,DB/BR,Filly,,WN,,,,More Than Ready,More Than Ready,Athena,Athena,,,,,,,,,,"Nursery Place, Agent ",,,,"Stonestreet Stables, LLC",,,,235000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,351,351,Avuncular,Avuncular,,,3/11/2017,6,B,Mare,,B,,,,Uncle Mo,Uncle Mo,Eileen's Dream,Eileen's Dream,,,,,,,,Audible,2/27/2021,"Winter Quarter Farm, Agent I ",,,,"Ann Mudge Backer, Smitten Farm",,,,410000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,352,352,Moretastic,Moretastic,,,3/15/2021,2,DB/BR,Filly,,WN,,,,More Than Ready,More Than Ready,Awesometastic,Awesometastic,,,,,,,,,,"Wynnstay Sales, Agent IV ",,,,Machmer Hall,,,,52000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,353,353,,,,,3/3/2021,2,CH,Colt,,WN,,,,Omaha Beach,Omaha Beach,Bahama Babe,Bahama Babe,,,,,,,,,,"Taylor Made Sales Agency, Agent CXV ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,354,354,Rose Bay,Rose Bay,,,4/12/2021,2,B,Filly,,WN,,,,Yoshida (JPN),Yoshida (JPN),Ballade's Girl,Ballade's Girl,,,,,,,,,,"Four Star Sales, Agent ",,,,Louis Baudron,,,,50000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,355,355,Ballston,Ballston,,,3/29/2015,8,B,Mare,,B,,,,Giant's Causeway,Giant's Causeway,Cayuga's Waters,Cayuga's Waters,,,,,,,,Complexity,5/24/2021,"Four Star Sales, Agent ",,,,Terry C. Lovingier,,,,40000,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,356,356,Symphony,Symphony,,,2/17/2021,2,CH,Filly,,WN,,,,Candy Ride (ARG),Candy Ride (ARG),Bansuri,Bansuri,,,,,,,,,,"Frankfort Park Farm, Agent ",,,,"R.N.A. (95,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,357,357,Baruta (BRZ),Baruta (BRZ),,,7/19/2009,14,B,Mare,,B,,,,Crimson Tide (IRE),Crimson Tide (IRE),Ultrasonic Girl (BRZ),Ultrasonic Girl (BRZ),,,,,,,,McKinzie,5/7/2021,"Hidden Brook, Agent for Bonne Chance Farm, LLC ",,,,Big Red Farm,,,,70000,,,,,T,2009
2021,M,21KEENOV,11/11/2021,2,2,358,358,Street Talker,Street Talker,,,4/15/2021,2,B    ,Colt,,WN,,,,Street Sense,Street Sense,Baruta (BRZ),Baruta (BRZ),,,,,,,,,,"Hidden Brook, Agent for Bonne Chance Farm, LLC ",,,,First Finds,,,,75000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,359,359,Bean,Bean,,,1/26/2017,6,DB/BR,Mare,,B,,,,Bernardini,Bernardini,Toccet Over,Toccet Over,,,,,,,,Union Rags,4/29/2021,"Stuart Morris, Agent VI ",,,,Out,,,,0,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,360,360,Becky's Joker,Becky's Joker,,,2/8/2021,2,B,Filly,,WN,,,,Practical Joke,Practical Joke,Becky's Best,Becky's Best,,,,,,,,,,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent X ",,,,Lee Pokoik,,,,130000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,361,361,Alexandra's Song,Alexandra's Song,,,2/13/2021,2,DB/BR,Filly,,WN,,,,City of Light,City of Light,Beechwood Ella (IRE),Beechwood Ella (IRE),,,,,,,,,,"Taylor Made Sales Agency, Agent LXXI ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,362,362,McQueen,McQueen,,,3/31/2021,2,CH   ,Colt,,WN,,,,Gun Runner,Gun Runner,Bella Verde,Bella Verde,,,,,,,,,,"Lane's End, Agent ",,,,H.R.D,,,,100000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,363,363,Bella Verde,Bella Verde,,,4/22/2014,9,CH,Mare,,B,,,,Tapizar,Tapizar,Beholden,Beholden,,,,,,,,Union Rags,5/9/2021,"Lane's End, Agent ",,,,Terry C. Lovingier,,,,35000,,,,,T,2014
2021,M,21KEENOV,11/11/2021,2,2,364,364,Blue Sky Baby,Blue Sky Baby,,,4/12/2017,6,DB/BR,Filly,,BP,,,,Pioneerof the Nile,Pioneerof the Nile,Maggie d'Oro,Maggie d'Oro,,,,,,,,,,"Burleson Farms, Agent ",,,,Julian Blaxland / Will Johnson Bloodstock,,,,240000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,365,365,Ms Bo J,Ms Bo J,,,1/31/2021,2,GR/RO,Filly,,WN,,,,Mitole,Mitole,Bodaciousness,Bodaciousness,,,,,,,,,,"James B. Keogh (Grovendale), Agent XXXVI ",,,,First Finds,,,,70000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,366,366,Boldest Vow,Boldest Vow,,,3/26/2014,9,DB/BR,Mare,,B,,,,Broken Vow,Broken Vow,Baldomera,Baldomera,,,,,,,,City of Light,4/5/2021,"James B. Keogh (Grovendale), Agent XX ",,,,Stone Bridge Farm,,,,150000,,,,,T,2014
2021,M,21KEENOV,11/11/2021,2,2,367,367,Thorny,Thorny,,,3/17/2021,2,DB/BR,Filly,,WN,,,,Violence,Violence,Boule,Boule,,,,,,,,,,"Four Star Sales, Agent ",,,,Cavalier Bloodstock,,,,80000,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,368,368,Brattata,Brattata,,,3/23/2015,8,DB/BR,Mare,,B,,,,More Than Ready,More Than Ready,Mama Nadine,Mama Nadine,,,,,,,,American Pharoah,3/4/2021,"Claiborne Farm, Agent ",,,,Barry And Judith Becker,,,,475000,,,,,T,2015
2021,M,21KEENOV,11/11/2021,2,2,369,369,Brazos Queen,Brazos Queen,,,2/12/2018,5,DB/BR,Mare,,B,,,,Medaglia d'Oro,Medaglia d'Oro,Bauble Queen,Bauble Queen,,,,,,,,Liam's Map,5/29/2021,"Claiborne Farm, Agent ",,,,Genet Racing LLC,,,,85000,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,370,370,Pleaseusetheportal,Pleaseusetheportal,,,1/21/2021,2,B,Colt,,WN,,,,Mendelssohn,Mendelssohn,Bridgette Bordeaux,Bridgette Bordeaux,,,,,,,,,,"Vinery Sales, Agent L ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/11/2021,2,2,371,371,Brilliant Cut,Brilliant Cut,,,2/2/2018,5,CH,Filly,,BRP,,,,Speightstown,Speightstown,Polish a Diamond,Polish a Diamond,,,,,,,,,,"Claiborne Farm, Agent ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,372,372,Bruja Escarlata,Bruja Escarlata,,,4/8/2017,6,CH,Filly,,BRP,,,,Street Boss,Street Boss,Teroda,Teroda,,,,,,,,,,"Lane's End, Agent ",,,,Milton Park,,,,160000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,373,373,Brutta Sorella,Brutta Sorella,,,3/25/2017,6,DB/BR,Mare,,B,,,,Malibu Moon,Malibu Moon,Miss Simpatia (ARG),Miss Simpatia (ARG),,,,,,,,Frosted,5/25/2021,"Four Star Sales, Agent ",,,,Mt. Brilliant Farm,,,,120000,,,,,T,2017
2021,M,21KEENOV,11/11/2021,2,2,374,374,Cabales,Cabales,,,5/5/2009,14,DB/BR,Mare,,B,,,,Pulpit,Pulpit,Mudslinger,Mudslinger,,,,,,,,Authentic,3/4/2021,"St George Sales, Agent XIX ",,,,Thorndale Farm,,,,190000,,,,,T,2009
2021,M,21KEENOV,11/11/2021,2,2,375,375,Candace O,Candace O,,,4/17/2018,5,B,Filly,,BRP,,,,Declaration of War,Declaration of War,That Voodoo Youdo,That Voodoo Youdo,,,,,,,,,,"Taylor Made Sales Agency, Agent LXXXVII ",,,,"D.J. Stable, LLC",,,,120000,,,,,T,2018
2021,M,21KEENOV,11/11/2021,2,2,376,376,Candura,Candura,,,3/25/2016,7,GR/RO,Mare,,BRP,,,,Into Mischief,Into Mischief,Holloween Candy,Holloween Candy,,,,,,,,,,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,2016
2021,M,21KEENOV,11/11/2021,2,2,377,377,,,,,4/4/2021,2,CH   ,Filly,,WN,,,,Maclean's Music,Maclean's Music,Cashlin,Cashlin,,,,,,,,,,"Ballysax Bloodstock, Agent V ",,,,"R.N.A. (22,000)",,,,,,,,,T,2021
