Book,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,Elig,Sire Of Dam
2,4,1092,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,Coach Petro,,B    ,Colt,Coach Petro,Cairo Prince,Hey Niki,,,,,"Jonathan Thomas, Agent",200000,,
2,4,1093,"Paramount Sales, Agent XL ",,Moonrise Drive,,B,Colt,Moonrise Drive,Hard Spun,Hiking,,,,,"R.N.A. (70,000)",---,,
2,4,1094,"Bluegrass Thoroughbred Services Inc., Agent for Merriebelle Stable, LLC",,Colonial Parkway,,B,Colt,Colonial Parkway,Quality Road,Hillhouse High,,,,,Out,0,,
2,4,1095,"Stuart Morris, Agent IX ",,Delight,,CH,Filly,Delight,Mendelssohn,Honey Trap,,,,,"R.N.A. (105,000)",---,,
2,4,1096,"Vinery Sales, Agent IX ",,Speed Institute,,GR/RO,Colt,Speed Institute,Frosted,Honor Indy,,,,,HMA 812,70000,,
2,4,1097,"Warrendale Sales, Agent XXX ",,Dundie,,B,Colt,Dundie,Speightstown,Humorous Miss,,,,,Flurry Racing Stables ,200000,,
3,5,1098,"Gainesway, Agent XLVI ",,Riley Jean,,CH,Filly,Riley Jean,Gun Runner,If Not For Her,,,,,Steve Carr,435000,,
3,5,1099,"Hunter Valley Farm, Agent ",,Hitsville,,B,Colt,Hitsville,Ghostzapper,Ihavetogo,,,,,Charlie J Williams LLC,20000,,
3,5,1100,"Bluewater Sales LLC, Agent XX ",,Mo Betty,,B,Filly,Mo Betty,Uncle Mo,I'm Betty G,,,,,"R.N.A. (200,000)",---,,
3,5,1101,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent VI ",,Souper Explosive,,CH,Filly,Souper Explosive,Gun Runner,Indian Safari,,,,,Live Oak Plantation,320000,,
3,5,1102,Glen Hill Farm ,,Plurality,,CH   ,Colt,Plurality,Munnings,Indy Groove,,,,,"Mike Ryan, Agent",350000,,
3,5,1103,"Sequel New York, Agent ",,Ty's Big Toddler,,DB/BR,Colt,Ty's Big Toddler,Nyquist,Indyniable,,,,,Dennis O'Neill,100000,,
3,5,1104,"Eaton Sales, Agent ",,Miranda Rights,,B,Colt,Miranda Rights,Constitution,In Jail,,,,,"D.J. Stable, LLC",130000,,
3,5,1105,"Denali Stud, Agent for Stonestreet Bred & Raised ",,Pride of the Nile,,B,Filly,Pride of the Nile,Pioneerof the Nile,Inny Minnie,,,,,Dennis O'Neill,140000,,
3,5,1106,"Gainesway, Agent X ",,Shop for Candy,,B,Colt,Shop for Candy,Candy Ride (ARG),Interject,,,,,de Meric Sales,180000,,
3,5,1107,"Hill 'n' Dale Sales Agency, Agent ",,Crystal the Pistol,,B    ,Filly,Crystal the Pistol,Malibu Moon,In the Slips,,,,,"R.N.A. (65,000)",---,,
3,5,1108,"Pope McLean (Crestwood Farm), Agent I ",,Wild Thinker,,B,Colt,Wild Thinker,Lord Nelson,Invested Prospect,,,,,Terrell S. Frey,90000,,
3,5,1109,"Hunter Valley Farm, Agent ",,Major Blue,,B,Colt,Major Blue,Flatter,Ire,,,,,"D. Wayne Lukas, Agent",95000,,
3,5,1110,"Machmer Hall Sales, Agent for Machmer Hall ",,Out of Alcatraz,,CH   ,Colt,Out of Alcatraz,West Coast,Island Escape,,,,,Ensemble Stables,70000,,
3,5,1111,"Taylor Made Sales Agency, Agent CXLVI ",,Treasure Coast,,DB/BR,Colt,Treasure Coast,West Coast,Jane of All Trades,,,,,"R.N.A. (47,000)",---,,
3,5,1112,"Pope McLean (Crestwood Farm), Agent XII ",,Dubai West,,CH,Filly,Dubai West,West Coast,Jb's Golden Regret,,,,,"R.N.A. (72,000)",---,,
3,5,1113,"Taylor Made Sales Agency, Agent CXLVIII ",,Manaos,,CH,Colt,Manaos,Justify,Jules Best,,,,,First Finds,75000,,
3,5,1114,"Gainesway, Agent II ",,Joesdaman,,B,Colt,Joesdaman,Union Rags,Justa Lady,,,,,Ronnie Edmondson,95000,,
3,5,1115,"Taylor Made Sales Agency, Agent CV ",,Fabulously Funny,,CH,Filly,Fabulously Funny,Practical Joke,Just Fabulous,,,,,Harold Lerner,210000,,
3,5,1116,"Clearsky Farms, Agent I ",,Union Rags --- Karpathos,,B,Filly,,Union Rags,Karpathos,,,,,Out,0,,
3,5,1117,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,Kauai Dan,,B,Colt,Kauai Dan,Quality Road,Kauai Katie,,,,,"R.N.A. (240,000)",---,,
3,5,1118,"Taylor Made Sales Agency, Agent CXXIX ",,Sweetlou'sgotaces,,DB/BR,Filly,Sweetlou'sgotaces,Constitution,Kayce Lu,,,,,"R.N.A. (65,000)",---,,
3,5,1119,"Eaton Sales, Agent ",,Chi Town Heat,,B,Filly,Chi Town Heat,Munnings,Keira,,,,,Woodford Thoroughbreds,200000,,
3,5,1120,"Eaton Sales, Agent for Longford Farm ",,Skayeb,,GR/RO,Filly,Skayeb,Frosted,Keowee Clai,,,,,Monarch Farms,40000,,
3,5,1121,"Hill 'n' Dale Sales Agency, Agent ",,King Larry,,CH,Colt,King Larry,Kitten's Joy,Knight of Thunder,,,,,"R.N.A. (45,000)",---,,
3,5,1122,"Hartwell Farm, Agent I ",,Tahoe Sunrise,,B,Colt,Tahoe Sunrise,American Pharoah,Koodori Dawn,,,,,Three Amigos Racing Stable LLC,310000,,
3,5,1123,"Machmer Hall Sales, Agent for Machmer Hall ",,Mended We Stand,,DB/BR,Filly,Mended We Stand,Mendelssohn,Lady,,,,,"R.N.A. (105,000)",---,,
3,5,1124,"Machmer Hall Sales, Agent for Machmer Hall et al. IV ",,Live Is Life,,B,Colt,Live Is Life,West Coast,Lady Bellamy,,,,,"R.N.A. (115,000)",---,,
3,5,1125,Glen Hill Farm ,,Moment of Insight,,DB/BR,Colt,Moment of Insight,Mendelssohn,Lady Byng,,,,,"Mike Ryan, Agent",260000,,
3,5,1126,"Hunter Valley Farm, Agent ",,Grand Oak (IRE),,B,Filly,Grand Oak (IRE),Speightstown,Lady Oak (IRE),,,,,Dewsweepers,105000,,
3,5,1127,"Lane's End, Agent for Wygod Equine LLC ",,Batucada,,GR/RO,Filly,Batucada,Union Rags,Lady Pamela,,,,,"Omega Farm, Agent",35000,,
3,5,1128,"Claiborne Farm, Agent ",,Selassie,,B,Colt,Selassie,Blame,Lalibela,,,,,Out,0,,
3,5,1129,"Runnymede Farm LLC, Agent ",,Blame It On Paris,,DB/BR,Filly,Blame It On Paris,Blame,La Parisienne,,,,,"Rodolphe Brisset, Agt for Sept Farm LLC",75000,,
3,5,1130,"Clarkland Farm, LLC ",,Clever Joke,,B,Filly,Clever Joke,Practical Joke,La Piba,,,,,"Mike Ryan, Agent",200000,,
3,5,1131,"Threave Main Stud LLC, Agent ",,Ella Roo,,B,Filly,Ella Roo,Practical Joke,Last Standing,,,,,Zack Markwell,100000,,
3,5,1132,"Eaton Sales, Agent ",,Alice Kramden,,CH,Filly,Alice Kramden,Accelerate,Laudation,,,,,"Joe Hardoon, Agent",200000,,
3,5,1133,"Taylor Made Sales Agency, Agent CXLVI ",,Funny Man,,B,Colt,Funny Man,Flatter,Laughing Matters,,,,,"R.N.A. (80,000)",---,,
3,5,1134,"Scott Mallory, Agent XI ",,Starship Supreme,,GR/RO,Filly,Starship Supreme,Frosted,Let's Go Cheyenne,,,,,Monarch Farms,27000,,
3,5,1135,"Taylor Made Sales Agency, Agent XVI ",,Connect Me,,CH,Colt,Connect Me,Connect,Let'sleaveitatthat,,,,,Out,0,,
3,5,1136,"Taylor Made Sales Agency, Agent CXLVI ",,Scarlett Strong,,DB/BR,Filly,Scarlett Strong,Pioneerof the Nile,Like It Hot,,,,,"R.N.A. (40,000)",---,,
3,5,1137,"Lane's End, Agent ",,Dude N Colorado (GB),,B,Colt,Dude N Colorado (GB),Uncle Mo,Limonar (IRE),,,,,Out,0,,
3,5,1138,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Castle Island,,B    ,Colt,Castle Island,City of Light,Liszy's Union,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",440000,,
3,5,1139,"Denali Stud, Agent L ",,Texas Tapit,,CH,Colt,Texas Tapit,Tapit,Little Alexis,,,,,"Quarter Pole Enterprises, LLC",40000,,
3,5,1140,"Taylor Made Sales Agency, Agent CLXXIII ",,Long Live Now,,B,Colt,Long Live Now,Uncle Mo,Live for Now,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",210000,,
3,5,1141,"Lane's End, Agent ",,Solitary Road,,B,Filly,Solitary Road,Quality Road,Lonesome Town,,,,,de Meric Sales,210000,,
3,5,1142,"Lane's End, Agent ",,Love Knot,,CH,Filly,Love Knot,Hard Spun,Longtime Love,,,,,South Point Bloodstock,80000,,
3,5,1143,"Claiborne Farm, Agent ",,Going in Style,,DB/BR,Colt,Going in Style,Mastery,Lope,,,,,Hablan Los Caballos LLC,10000,,
3,5,1144,"Taylor Made Sales Agency, Agent CLII ",,Montepulciano,,DB/BR,Colt,Montepulciano,Not This Time,Love Abounds,,,,,Hugo Merry Bloodstock for Barry K. Schwartz,210000,,
3,5,1145,"Taylor Made Sales Agency, Agent CXVI ",,Calming Sea,,DB/BR,Filly,Calming Sea,Mendelssohn,Love Ava Love,,,,,Out,0,,
3,5,1146,"Baccari Bloodstock, Agent V ",,Twirling Candy --- Love for Scarlett,,B,Colt,,Twirling Candy,Love for Scarlett,,,,,New Team,200000,,
3,5,1147,"Denali Stud, Agent XXVIII ",,Starship Ambition,,DB/BR,Filly,Starship Ambition,Bolt d'Oro,Love Match,,,,,"R.N.A. (90,000)",---,,
3,5,1148,"Hunter Valley Farm, Agent ",,Party Favor,,B,Filly,Party Favor,Practical Joke,Lucky Rose,,,,,Maverick / Siena,520000,,
3,5,1149,Stonehaven Steadings ,,Secret Threat,,DB/BR,Colt,Secret Threat,Candy Ride (ARG),Lucy in Diamonds,,,,,"R.N.A. (170,000)",---,,
3,5,1150,"Taylor Made Sales Agency, Agent CXLVI ",,Henry Q,,B,Colt,Henry Q,Blame,Lunar Empress,,,,,Dennis O'Neill,125000,,
3,5,1151,"Eaton Sales, Agent ",,Mega Moon,,GR/RO,Colt,Mega Moon,Frosted,Luna Rosa,,,,,"R.N.A. (45,000)",---,,
3,5,1152,Dixiana Farms LLC ,,Western Ghent,,DB/BR,Colt,Western Ghent,American Pharoah,Luzmimi Princess,,,,,"D. Wayne Lukas, Agent",80000,,
3,5,1153,"Gainesway, Agent VIII ",,Rapid Miss Tapit,,GR/RO,Filly,Rapid Miss Tapit,Tapit,Magical Dream,,,,,BallyMac Thoroughbreds,40000,,
3,5,1154,"Hill 'n' Dale Sales Agency, Agent ",,Magic Beauty,,DB/BR,Filly,Magic Beauty,Curlin,Magic Belle,,,,,Out,0,,
3,5,1155,"Hunter Valley Farm, Agent ",,Protest,,DB/BR,Colt,Protest,Street Sense,Majestic Bonnie,,,,,Lucan Bloodstock,220000,,
3,5,1156,"Lane's End, Agent ",,Sense You Asked,,DB/BR,Colt,Sense You Asked,Street Sense,Malibu Model,,,,,"Shepherd Equine Advisers, Agent for Larry Hirsch",270000,,
3,5,1157,"Gainesway, Agent for Walmac Farm, LLC ",,Royal Mende,,B    ,Colt,Royal Mende,Mendelssohn,Malibu Royalty,,,,,"R.N.A. (70,000)",---,,
3,5,1158,"Denali Stud, Agent XLVI ",,Buckeye Don,,B,Colt,Buckeye Don,Speightstown,Malibu Treasure,,,,,John Williams,200000,,
3,5,1159,Blue Heaven Farm ,,Coldstream,,CH,Colt,Coldstream,Justify,Maple Forest,,,,,Out,0,,
3,5,1160,"Runnymede Farm LLC, Agent ",,Vita de Vito,,CH,Filly,Vita de Vito,West Coast,Margate Gardens,,,,,Out,0,,
3,5,1161,"Gainesway, Agent X ",,King Matina,,GR/RO,Colt,King Matina,Empire Maker,Marlinspike,,,,,Out,0,,
3,5,1162,"Machmer Hall Sales, Agent for Machmer Hall et al. II ",,Freedom for All,,DB/BR,Filly,Freedom for All,American Freedom,Marvelous Spot,,,,,"Kenneth McPeek, Agent",90000,,
3,5,1163,"Runnymede Farm LLC, Agent ",,Solevo,,DB/BR,Filly,Solevo,Street Sense,Marwa (GB),,,,,"Joe Migliore, Agt for Adelphi Racing Club",90000,,
3,5,1164,"Taylor Made Sales Agency, Agent CV ",,Mi Pronto,,DB/BR,Filly,Mi Pronto,Protonico,Matryoshka Doll,,,,,Calumet Farm,120000,,
3,5,1165,"Eaton Sales, Agent ",,Border Spin,,B,Colt,Border Spin,Hard Spun,Maude S,,,,,Keith Asmussen,25000,,
3,5,1166,"Pope McLean (Crestwood Farm), Agent III ",,Demolition Duke,,B,Colt,Demolition Duke,Good Magic,Media Madness,,,,,Thrash / Payne Racing,130000,,
3,5,1167,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Wickline,,GR/RO,Colt,Wickline,Twirling Candy,Mercurial,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",275000,,
3,5,1168,"Sequel New York, Agent ",,Vince's Magic,,CH,Colt,Vince's Magic,Good Magic,Midnight Watch,,,,,Out,0,,
3,5,1169,"Lane's End, Agent ",,Cool Hand Kemp,,DB/BR,Colt,Cool Hand Kemp,Hard Spun,Mighty Moon,,,,,"Chad Schumer, Agent",50000,,
3,5,1170,Sierra Farm ,,Captain Choochies,,GR/RO,Colt,Captain Choochies,Classic Empire,Mighty Renee,,,,,"Gayle Van Leer, Agent",210000,,
3,5,1171,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Fridaynightsoldier,,GR/RO,Colt,Fridaynightsoldier,Connect,Mining for Mercury,,,,,Flurry Racing Stables ,150000,,
3,5,1172,"Lane's End, Agent ",,Algarca,,CH,Filly,Algarca,Liam's Map,Miracle Run,,,,,Off the Hook,20000,,
3,5,1173,"Taylor Made Sales Agency, Agent XC ",,Mendi's Girl,,CH,Filly,Mendi's Girl,Mendelssohn,Miss Derek,,,,,"S. R. Schwartz, Agent",65000,,
3,5,1174,"Darby Dan Farm, Agent VII ",,Open Choice,,CH,Colt,Open Choice,Classic Empire,Miss Mockingbird,,,,,JT Racing,65000,,
3,5,1175,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Forward Move,,B,Colt,Forward Move,Army Mule,Miss Nancy,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",225000,,
3,5,1176,"Hill 'n' Dale Sales Agency, Agent ",,Imperial Star,,DB/BR,Colt,Imperial Star,Distorted Humor,Missy Crissy,,,,,R.G. Sikura,10000,,
3,5,1177,"Eaton Sales, Agent ",,I Got a Guy,,CH,Colt,I Got a Guy,Accelerate,Missy's Advantage,,,,,John Castillo,20000,,
3,5,1178,"Sequel New York, Agent for Chester and Mary Broman ",,Impressor,,DB/BR,Colt,Impressor,Classic Empire,Misty Rosette,,,,,H T C / Voric Stables,110000,,
3,5,1179,Stonehaven Steadings ,,Madison's Freggie,,B,Filly,Madison's Freggie,Uncle Mo,Miz Kella,,,,,Farm Ridge,425000,,
3,5,1180,"Eaton Sales, Agent ",,Procharger,,DB/BR,Colt,Procharger,Quality Road,Modacious,,,,,Mike Waters,210000,,
3,5,1181,"Denali Stud, Agent for WinStar Farm Bred & Raised ",,Southlawn,,B,Filly,Southlawn,Pioneerof the Nile,Mo d'Amour,,,,,"Deuce Greathouse, Agent for Robert Masterson",290000,,
3,5,1182,"Gainesway, Agent XLVIII ",,Arcangelo,,GR/RO,Colt,Arcangelo,Arrogate,Modeling,,,,,Jon Ebbert,35000,,
3,5,1183,"Runnymede Farm LLC, Agent ",,Fascinating You,,B,Colt,Fascinating You,Justify,Molly Corbin,,,,,Meridian International,150000,,
3,5,1184,Dixiana Farms LLC ,,Three Jewels,,B    ,Colt,Three Jewels,American Pharoah,Momentary Magic,,,,,MyRacehorse.com,320000,,
3,5,1185,"Hill 'n' Dale Sales Agency, Agent ",,Lassie's Map,,DB/BR,Filly,Lassie's Map,Liam's Map,Moolah Schmoolah,,,,,CJ Thoroughbreds,175000,,
3,5,1186,"Bluewater Sales LLC, Agent XVIII ",,Classic Catch,,DB/BR,Colt,Classic Catch,Classic Empire,Moon Catcher,,,,,Whisper Hill Farm LLC,110000,,
3,5,1187,"Hunter Valley Farm, Agent ",,Moonflyer,,CH,Colt,Moonflyer,Good Magic,Moon Orbit,,,,,Out,0,,
3,5,1188,"Eaton Sales, Agent ",,Same Ole Mo,,B,Colt,Same Ole Mo,Uncle Mo,Moravia,,,,,Out,0,,
3,5,1189,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Donegal Danny,,GR/RO,Colt,Donegal Danny,Maclean's Music,Most Inspiring,,,,,Jerry Crawford for Donegal Racing,290000,,
3,5,1190,"Eaton Sales, Agent ",,Norah Boo,,B,Filly,Norah Boo,Sharp Azteca,Ms. Basnight,,,,,"Down The Stretch, LLC",40000,,
3,5,1191,"Denali Stud, Agent XXIX ",,Truly Grateful,,B,Filly,Truly Grateful,Violence,Much Obliged,,,,,Brookfield,35000,,
3,5,1192,"Hunter Valley Farm, Agent ",,Bread Winner,,B,Colt,Bread Winner,Candy Ride (ARG),Munny Spunt,,,,,Out,0,,
3,5,1193,"Gainesway, Agent XXXI ",,Tiger's Legacy,,B,Colt,Tiger's Legacy,Into Mischief,My Lady Luck,,,,,Gary Broad / Walmac Farm,100000,,
3,5,1194,"Denali Stud, Agent LIV ",,Gun Runner --- My Sister Sue,,CH,Colt,,Gun Runner,My Sister Sue,,,,,Out,0,,
3,5,1195,"Scott Mallory, Agent XV ",,Rosemead,,GR/RO,Filly,Rosemead,Accelerate,Mystic Mama,,,,,Martin Anthony,225000,,
3,5,1196,"Runnymede Farm LLC, Agent ",,Mr. Pacifist,,DB/BR,Colt,Mr. Pacifist,Violence,Mystra,,,,,"R.N.A. (47,000)",---,,
3,5,1197,"Hill 'n' Dale Sales Agency, Agent ",,Gilmore,,GR/RO,Colt,Gilmore,Twirling Candy,My Surfer Girl,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",250000,,
3,5,1198,"Claiborne Farm, Agent ",,Flatter --- Need,,DB/BR,Colt,,Flatter,Need,,,,,Powerstown Stud,110000,,
3,5,1199,"Lane's End, Agent ",,Funny Uncle,,CH,Colt,Funny Uncle,Distorted Humor,Night Owl,,,,,Michael J. and Linda Mazoch,65000,,
3,5,1200,"Gainesway, Agent XLVI ",,Naval Warfare,,B,Colt,Naval Warfare,Gun Runner,Noble Fire,,,,,Out,0,,
3,5,1201,"Eaton Sales, Agent ",,Jackstown,,CH,Colt,Jackstown,Speightstown,No Name Needed,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",160000,,
3,5,1202,"Scott Mallory, Agent I ",,Christina's Candy,,B,Filly,Christina's Candy,Twirling Candy,Oak Marsh,,,,,"Nick J. Hines, Agent for Slam Dunk Racing",135000,,
3,5,1203,"Denali Stud, Agent XLVII ",,Pleasant Wave,,DB/BR,Filly,Pleasant Wave,More Than Ready,Oak Trees Dancing,,,,,"Meah/Lloyd Bloodstock, Agent for Nguyen and Tran",160000,,
3,5,1204,Blue Heaven Farm ,,Wicklow,,B,Colt,Wicklow,Kitten's Joy,Ocean Drive,,,,,Out,0,,
3,5,1205,"Taylor Made Sales Agency, Agent CVIII ",,Don't Tell Amy,,DB/BR,Filly,Don't Tell Amy,Twirling Candy,Oh Flatter Me,,,,,Migliore Bloodstock & Oracle Bloodstock,235000,,
3,5,1206,"Denali Stud, Agent XXX ",,Journey Trail,,CH,Colt,Journey Trail,Kantharos,Onebrethatatime,,,,,"Asmussen & Woolsey Stables, LLC",120000,,
3,5,1207,"Eaton Sales, Agent ",,Opalescence,,DB/BR,Colt,Opalescence,Mendelssohn,Opal Blue (IRE),,,,,"R.N.A. (95,000)",---,,
3,5,1208,"Taylor Made Sales Agency, Agent CXLVIII ",,Majestic Tap,,GR/RO,Filly,Majestic Tap,Tapit,Our Majesty,,,,,Out,0,,
3,5,1209,"Castle Park Farm LLC (Noel Murphy), Agent VIII ",,Volta d'Oro,,B,Filly,Volta d'Oro,Bolt d'Oro,Over the Edge,,,,,Ryston Stables,75000,,
3,5,1210,"Garrencasey Sales LLC, Agent II ",,Knight Moon,,B,Colt,Knight Moon,Malibu Moon,Pacific Whisper,,,,,"Chad Schumer, Agent",17000,,
3,5,1211,"Legacy Bloodstock, Agent for Jackpot Farm ",,Irresistible Force,,DB/BR,Filly,Irresistible Force,Mendelssohn,Parisian Affair,,,,,Cynthia B Cutter,75000,,
3,5,1212,"Lane's End, Agent ",,Silent Story,,GR/RO,Filly,Silent Story,Kitten's Joy,Patou,,,,,"R.N.A. (65,000)",---,,
3,5,1213,"Eaton Sales, Agent ",,Highland Rahy,,B,Colt,Highland Rahy,Hard Spun,Patti O'Rahy,,,,,Peter K. L. Chu,160000,,
3,5,1214,"Lane's End, Agent ",,Donegal Mischief,,B,Colt,Donegal Mischief,Into Mischief,Pauline Revere,,,,,Jerry Crawford for Donegal Racing,90000,,
3,5,1215,"Darby Dan Farm, Agent IV ",,Egypt,,B,Colt,Egypt,Tiznow,Pharoah's Princess,,,,,Hugo Merry Bloodstock for Barry K. Schwartz,125000,,
3,5,1216,"Machmer Hall Sales, Agent for Machmer Hall ",,Dreamy Breeze,,B    ,Colt,Dreamy Breeze,Always Dreaming,Playa Blanca,,,,,"R.N.A. (67,000)",---,,
3,5,1217,"Hurstland Farm (Alfred H. Nuckols, Jr.), Agent III ",,Amerease,,B,Colt,Amerease,American Pharoah,Please Sign In,,,,,R K G Racing,19000,,
3,5,1218,"Machmer Hall Sales, Agent for Machmer Hall ",,Ah Jeez,,B,Colt,Ah Jeez,Mendelssohn,Poetic,,,,,"Meah/Lloyd, Agt for BG Stables",80000,,
3,5,1219,Columbiana Farm LLC ,,Mural,,B,Filly,Mural,Munnings,Political Act,,,,,BDR IV & West Point,190000,,
3,5,1220,"Eaton Sales, Agent ",,King of the Gods,,B,Colt,King of the Gods,Malibu Moon,Ponti Scheme,,,,,"R.N.A. (70,000)",---,,
3,5,1221,"Machmer Hall Sales, Agent for Machmer Hall ",,Calm Cool,,B    ,Filly,Calm Cool,Collected,Port Charlotte,,,,,"Frank Wooten, Agent",210000,,
3,5,1222,"Clearsky Farms, Agent I ",,Mendy's Pride,,DB/BR,Colt,Mendy's Pride,Mendelssohn,Praia,,,,,West Bloodstock,210000,,
3,5,1223,"Taylor Made Sales Agency, Agent IV ",,Dixie Fury,,B,Colt,Dixie Fury,Tiznow,Precious Dixie,,,,,Out,0,,
3,5,1224,"Taylor Made Sales Agency, Agent CLXXVIII ",,Derby Barbie,,B,Filly,Derby Barbie,Justify,Precious Stone (IRE),,,,,NJ Managing Inc.,47000,,
3,5,1225,"Lane's End, Agent ",,Semi Formal,,GR/RO,Colt,Semi Formal,Liam's Map,Pretty Fancy,,,,,Out,0,,
3,5,1226,"Eaton Sales, Agent ",,Fourway Stop,,B,Filly,Fourway Stop,Street Sense,Prettypriceygirl,,,,,Ernie Kuehne,130000,,
3,5,1227,"Legacy Bloodstock, Agent XXVII ",,Provision,,CH,Colt,Provision,Goldencents,Princesa de Papi,,,,,Gatsas Stables SGV Agent,42000,,
3,5,1228,Stonehaven Steadings ,,Royal Misconduct,,B,Filly,Royal Misconduct,Into Mischief,Princessdiane,,,,,"Preferred Equine, Agent for Phil Antonacci",200000,,
3,5,1229,"Nursery Place, Agent ",,Strictly Confident,,DB/BR,Colt,Strictly Confident,Twirling Candy,Private Citizen,,,,,"R.N.A. (95,000)",---,,
3,5,1230,"Runnymede Farm LLC, Agent ",,Mage,,CH,Colt,Mage,Good Magic,Puca,,,,,New Team,235000,,
3,5,1231,"Lane's End, Agent ",,Principessa Mia,,DB/BR,Filly,Principessa Mia,Maclean's Music,Pulpit Angel,,,,,"R.N.A. (80,000)",---,,
3,5,1232,"Nursery Place, Agent ",,Summonyourcourage,,B,Colt,Summonyourcourage,Practical Joke,Queen of the Realm,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",500000,,
3,5,1233,"Claiborne Farm, Agent ",,Star Attitude,,DB/BR,Colt,Star Attitude,Pioneerof the Nile,Quick Release,,,,,H43 Equine,10000,,
3,5,1234,"Nursery Place, Agent ",,Driven by Pressure,,B,Colt,Driven by Pressure,Accelerate,Quintile,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",160000,,
3,5,1235,"Gainesway, Agent for Stonestreet Bred & Raised ",,Riverside,,DB/BR,Colt,Riverside,Bernardini,Rainier,,,,,"Quarter Pole Enterprises, LLC",200000,,
3,5,1236,"Taylor Made Sales Agency, Agent CLXIX ",,Hard Times,,B,Colt,Hard Times,Goldencents,Ramona's Wildcat,,,,,"Christina R. Jelm, Agent for Dennis January",80000,,
3,5,1237,"Bluewater Sales LLC, Agent for WinStar Farm Bred & Raised ",,Prouver,,GR/RO,Filly,Prouver,Justify,Ready to Act,,,,,BDR IV & West Point,310000,,
3,5,1238,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent V ",,No Confession,,B,Colt,No Confession,Into Mischief,Ready to Confess,,,,,BallyMac Thoroughbreds,30000,,
3,5,1239,"Buck Pond Farm (Douglas S. Arnold), Agent IV ",,Big Skippy,,GR/RO,Colt,Big Skippy,Liam's Map,Rebecca's Surprise,,,,,Terrell S. Frey,150000,,
3,5,1240,"Taylor Made Sales Agency, Agent CVIII ",,Stage Bell,,CH,Filly,Stage Bell,Union Rags,Rehearsed,,,,,D. B. Stable,22000,,
3,5,1241,"Denali Stud, Agent for Bridlewood Farm ",,Turf Guy,,GR/RO,Colt,Turf Guy,Hard Spun,Rella,,,,,"R.N.A. (85,000)",---,,
3,5,1242,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Remarkable Mo,,B,Colt,Remarkable Mo,Uncle Mo,Remarkable Moon,,,,,D. K. Strickland/Tony Caver,120000,,
3,5,1243,"Gainesway, Agent for Bridlewood Farm ",,Nicky's Station,,B,Colt,Nicky's Station,Street Sense,Renda,,,,,BSW/Crow Colts Group,475000,,
3,5,1244,"Hill 'n' Dale Sales Agency, Agent ",,Magic Bubbles,,B,Filly,Magic Bubbles,Empire Maker,Rigorously,,,,,"R.N.A. (70,000)",---,,
3,5,1245,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,Tres Maria's Dream,,DB/BR,Filly,Tres Maria's Dream,Union Rags,Roberta Turner,,,,,Jose Gutierrez,6500,,
3,5,1246,"Gainesway, Agent XII ",,Chipper Me Timbers,,B,Colt,Chipper Me Timbers,Bolt d'Oro,Roman Bluff,,,,,Wind Bloodstock,125000,,
3,5,1247,"Gainesway, Agent XLVIII ",,Faithful and True,,CH,Colt,Faithful and True,Good Magic,Rose Mine,,,,,Red Wings Enterprises,70000,,
3,5,1248,Blue Heaven Farm ,,Giovannino,,B,Colt,Giovannino,Into Mischief,Roxy Gap,,,,,"Anjelantonio Freda / Ilium Stable, LLC",200000,,
3,5,1249,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Practical Joke --- Royale Harbor,,B,Colt,,Practical Joke,Royale Harbor,,,,,"Atlas Bloodstock, Agent for M.V. Magnier",425000,,
3,5,1250,"Woods Edge Farm (Peter O'Callaghan), Agent II ",,African Safari,,CH,Filly,African Safari,Liam's Map,Ruslana,,,,,"Julie Davies, Agent",70000,,
3,5,1251,"Pope McLean (Crestwood Farm), Agent III ",,Foxfire,,DB/BR,Filly,Foxfire,Empire Maker,Safwah,,,,,BDR IV & West Point,175000,,
3,5,1252,"Eaton Sales, Agent for Stonestreet Bred & Raised ",,Lady Radler,,CH,Filly,Lady Radler,Kantharos,Sally Bowles (SAF),,,,,Out,0,,
