Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
4,1045,"Taylor Made Sales Agency, Agent CXXXIV ","","Black Swan","04/05/2018","B",Mare,"Black Swan","Twirling Candy","Epitome of a Lady","Munnings","04/28/2022","pregnant","Broodmare","Cabell Thoroughbreds",120000
4,1046,"Vinery Sales, Agent LXXXIII ","","Keeping the Faith","02/11/2022","B",Colt,"Keeping the Faith","Maximum Security","Blake's Magic","","","","Weanling","Out",0
4,1047,"Highgate Sales, Agent XVIII ","","Landing Craft","03/27/2022","B",Colt,"Landing Craft","Omaha Beach","Bridgette Bordeaux","","","","Weanling","Cedar Rock Ranch",80000
4,1048,"Vinery Sales, Agent for Forever Spring Farm LLC ","","Bringinginthelute","03/22/2010","DB/BR",Mare,"Bringinginthelute","Midnight Lute","Starry Pie","Tiz the Law","03/09/2022","pregnant","Broodmare","Out",0
4,1049,"Taylor Made Sales Agency, Agent LX ","","Spamalot","03/14/2022","B",Colt,"Spamalot","Audible","Broadway Lullaby","","","","Weanling","Out",0
4,1050,"Lane's End, Agent ","","Brockovich","02/02/2019","B",Mare,"Brockovich","Honor Code","Miss Squeal","Charlatan","03/28/2022","pregnant","Broodmare","Jody Huckabay, Agent",450000
4,1051,"Lane's End, Agent ","","Cache","02/17/2015","B",Mare,"Cache","Distorted Humor","Wait Til Dawn","Connect","04/07/2022","pregnant","Broodmare","Grandview Equine",145000
4,1052,"Pope McLean (Crestwood Farm), Agent I ","","Candy Garden","04/26/2018","DB/BR",Mare,"Candy Garden","Candy Ride (ARG)","Ambitious Cat","Yorkton","04/02/2022","pregnant","Broodmare","Robert S. West Jr.",32000
4,1053,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ","","Can't Explain","03/21/2010","CH",Mare,"Can't Explain","Not For Love","I Ain't P T","Kantharos","02/21/2022","pregnant","Broodmare","Equinox, Agent for Go-To-Toga Racing",65000
4,1054,"Lane's End, Agent ","","Capturini","01/26/2018","DB/BR",Filly,"Capturini","Uncaptured","The Shady Lady","","","","Broodmare Prospect","Girvin's Girls",40000
4,1055,"Legacy Bloodstock, Agent XXIII ","","Complexity --- Caroline County","03/30/2022","DB/BR",Filly,"","Complexity","Caroline County","","","","Weanling","Magna Carta Bloodstock",55000
4,1056,"Four Star Sales, Agent ","","Sarmat Classic","04/15/2022","B",Colt,"Sarmat Classic","Vino Rosso","Cassis Royale","","","","Weanling","Out",0
4,1057,"Stone Farm, Agent ","","Catalan","03/26/2018","CH",Mare,"Catalan","Street Boss","Reef Point","Catholic Boy","04/24/2022","pregnant","Broodmare","R.N.A. (47,000)",---
4,1058,"Hidden Brook, Agent XIV ","","C C My Sis","01/22/2016","B    ",Mare,"C C My Sis","Tiznow","Pulpit Angel","Violence","03/19/2022","pregnant","Broodmare","Caldara Farm",130000
4,1059,"Ballysax Bloodstock, Agent XXXI ","","Celestia","04/20/2019","B",Mare,"Celestia","Uncle Mo","Arienza","Tiz the Law","02/24/2022","pregnant","Broodmare","McMahon & Hill Bloodstock, Agt / Winter Creek Farm",170000
4,1060,"Lane's End, Agent for Juddmonte ","","Chaberton","03/13/2019","CH",Filly,"Chaberton","Kantharos","Quest to Peak","","","","Racing or Broodmare Prospect","Out",0
4,1061,"Vinery Sales, Agent for Milestone Farm ","","Miami Breeze","03/19/2022","B",Colt,"Miami Breeze","Echo Town","Chamade","","","","Weanling","R.N.A. (11,000)",---
4,1062,"Vinery Sales, Agent XXIX ","","Vekoma --- Charlies Love","04/17/2022","CH",Filly,"","Vekoma","Charlies Love","","","","Weanling","Out",0
4,1063,"Grovendale Sales, Agent XIX ","","Chasing Fireflies","02/09/2019","DB/BR",Filly,"Chasing Fireflies","Twirling Candy","Rehearsed","","","","Racing or Broodmare Prospect","Adelaide Bloodstock",85000
4,1064,"Pope McLean (Crestwood Farm), Agent for Kendall E. Hansen, M.D. Racing, LLC","","Omaha Beach --- Cheetah","02/24/2022","DB/BR",Filly,"","Omaha Beach","Cheetah","","","","Weanling","S-One Racing",45000
4,1065,"Four Star Sales, Agent ","","Higher Power --- Chick Chaser","03/30/2022","B",Colt,"","Higher Power","Chick Chaser","","","","Weanling","R.N.A. (72,000)",---
4,1066,"Garrencasey Sales LLC, Agent VI ","","Chilly Sky","05/07/2017","B",Mare,"Chilly Sky","Sky Mesa","Holiday Chills","Maclean's Music","02/17/2022","pregnant","Broodmare","R.N.A. (115,000)",---
4,1067,"Lane's End, Agent ","","Chione","05/12/2018","GR/RO",Filly,"Chione","Frosted","All in With Aces","","","","Racing or Broodmare Prospect","Out",0
4,1068,"Lisa and Tim Turney, Agent I ","","Clairvoyant Lady","03/17/2014","B",Mare,"Clairvoyant Lady","Astrology","Chantilly Lady","Liam's Map","04/02/2022","pregnant","Broodmare","Bobby Jones Equine",67000
4,1069,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent I ","","Classy War","01/16/2022","DB/BR",Colt,"Classy War","War of Will","Classydame","","","","Weanling","GEB Bloodstock",50000
4,1070,"Hidden Brook, Agent II ","","Puteketeke","03/31/2022","B    ",Colt,"Puteketeke","Omaha Beach","Cleopatra's Charm","","","","Weanling","R.N.A. (70,000)",---
4,1071,"Vinery Sales, Agent for Forever Spring Farm LLC ","","Charlie Mike","02/27/2022","B    ",Filly,"Charlie Mike","Mitole","C'Mon Feet","","","","Weanling","S-One Racing",42000
4,1072,"Hartwell Farm, Agent III ","","Coco Vin","04/21/2018","CH",Mare,"Coco Vin","Liam's Map","Platinum Preferred","Upstart","04/03/2022","pregnant","Broodmare","Out",0
4,1073,"Lisa and Tim Turney, Agent I ","","It's Just a Game","04/19/2022","B    ",Filly,"It's Just a Game","Oscar Performance","Coffee Clique","","","","Weanling","Shannon Potter, Agent for Brian Lynch",15000
4,1074,"Hartwell Farm, Agent VI ","","Cold Little Heart","04/17/2019","DB/BR",Mare,"Cold Little Heart","Mucho Macho Man","More Than Speed","Independence Hall","04/27/2022","pregnant","Broodmare","Marequest, LLC",42500
4,1075,"Mill Ridge Sales, Agent ","","Colonizer","05/03/2018","DB/BR",Mare,"Colonizer","Speightstown","Newbie","Omaha Beach","05/10/2022","pregnant","Broodmare","Chester & Mary Broman",150000
4,1076,"Taylor Made Sales Agency, Agent CXIX ","","Colorful Sense","04/30/2016","B",Mare,"Colorful Sense","Street Sense","Revolutionary Act","Protonico","04/20/2022","pregnant","Broodmare","Out",0
4,1077,"Mill Ridge Sales, Agent ","","Confidenceinterval","03/27/2018","CH",Mare,"Confidenceinterval","Union Rags","Distorted Lies","Complexity","02/28/2022","pregnant","Broodmare","Fred W. Hertrich, III",32000
4,1078,"Woodford Thoroughbreds, Agent for Myracehorse.com and Partners","","Cornice Traverse","02/09/2019","B",Filly,"Cornice Traverse","Malibu Moon","Grand Traverse Bay","","","","Broodmare Prospect","High Street Investments",32000
4,1079,"Vinery Sales, Agent for Forever Spring Farm LLC ","","Ten Bucks a Glass","02/05/2022","GR/RO",Colt,"Ten Bucks a Glass","Vino Rosso","Coup de Coeur","","","","Weanling","R.N.A. (25,000)",---
4,1080,"Taylor Made Sales Agency, Agent XLVI ","","McKinzie --- Court Dancer","04/12/2022","B",Filly,"","McKinzie","Court Dancer","","","","Weanling","Newday Training Center",100000
4,1081,"Bluewater Sales LLC, Agent VII ","","Creative Instinct","03/17/2016","GR/RO",Mare,"Creative Instinct","Creative Cause","Teacher Teacher","War of Will","05/21/2022","pregnant","Broodmare","Out",0
4,1082,"Bluewater Sales LLC, Agent VII ","","Most Likely","04/26/2022","CH",Colt,"Most Likely","Improbable","Creative Instinct","","","","Weanling","Out",0
4,1083,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ","","Crowning Affair","05/05/2013","B",Mare,"Crowning Affair","Giant's Causeway","Capote's Crown","Daredevil","04/22/2022","pregnant","Broodmare","Grumpa Bloodstock",15000
4,1084,"Vinery Sales, Agent for HREH, Raised at Springhill Equine","","Belle Ofthe Dance","02/25/2022","DB/BR",Filly,"Belle Ofthe Dance","Honor A. P.","Cruise and Danze","","","","Weanling","Out",0
4,1085,"Four Star Sales, Agent ","","Vino Alla Mora","02/28/2022","B",Filly,"Vino Alla Mora","Vino Rosso","Cue the Moon","","","","Weanling","R.N.A. (37,000)",---
4,1086,"Four Star Sales, Agent ","","Global Campaign --- Culotte","02/10/2022","B",Colt,"","Global Campaign","Culotte","","","","Weanling","R.N.A. (14,000)",---
4,1087,"Trackside Farm (Tom Evans), Agent VII ","","Alwaliah","02/17/2022","CH   ",Filly,"Alwaliah","Speightster","Curl the Pearl","","","","Weanling","R.N.A. (22,000)",---
4,1088,"Four Star Sales, Agent ","","C K Wonder","04/08/2022","CH",Colt,"C K Wonder","Vekoma","Dad'ssilverpitcher","","","","Weanling","Out",0
4,1089,"Lane's End, Agent ","","Liam's Map --- Dame Commander","02/26/2022","CH   ",Filly,"","Liam's Map","Dame Commander","","","","Weanling","Boca Horse",30000
4,1090,"Small Batch Sales, Agent VII ","","Improbable --- Dancing Alone","02/18/2022","CH",Filly,"","Improbable","Dancing Alone","","","","Weanling","Out",0
4,1091,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Dark Channel","04/29/2012","B",Mare,"Dark Channel","English Channel","Dark Hours","Raging Bull (FR)","05/23/2022","pregnant","Broodmare","Pinar Araci",12000
4,1092,"Hidden Brook, Agent XXIV ","","Flat to Da Mat","02/19/2022","DB/BR",Colt,"Flat to Da Mat","Omaha Beach","Deadline","","","","Weanling","Sean S. Perl for Ralph J Bianculli",80000
4,1093,"Hidden Brook, Agent XXIV ","","Deadline","03/01/2015","DB/BR",Mare,"Deadline","Flat Out","Decorator","Good Magic","03/16/2022","pregnant","Broodmare","R.N.A. (55,000)",---
4,1094,"Hidden Brook, Agent XXVII ","","Central Banker --- Deep Trouble","03/26/2022","B    ",Filly,"","Central Banker","Deep Trouble","","","","Weanling","McMahon & Hill Bloodstock LLC",6000
4,1095,"Hidden Brook, Agent XXVII ","","Deep Trouble","04/26/2014","DB/BR",Mare,"Deep Trouble","Into Mischief","Submerge","Tiz the Law","04/26/2022","pregnant","Broodmare","Nancy B. Stone",35000
4,1096,"Highgate Sales, Agent VIII ","","Definitely Maybe","03/30/2018","B",Mare,"Definitely Maybe","Uncaptured","Conquest Angel","City of Light","03/05/2022","pregnant","Broodmare","Town & Country Horse Farms, LLC",105000
4,1097,"Castle Park Farm LLC (Noel Murphy), Agent VIII ","","Denied","03/15/2013","B",Mare,"Denied","Uncle Mo","Fortyniner Fever","Midshipman","05/18/2022","pregnant","Broodmare","Wimbledon Farm",85000
4,1098,"Castle Park Farm LLC (Noel Murphy), Agent VIII ","","Maclean's Music --- Denied","04/19/2022","B    ",Colt,"","Maclean's Music","Denied","","","","Weanling","Silver Hills LLC",80000
4,1099,"Vinery Sales, Agent LXXII ","","Desert Illusion","02/21/2013","B",Mare,"Desert Illusion","Sky Mesa","To Dream About","Maclean's Music","04/17/2022","pregnant","Broodmare","R.N.A. (47,000)",---
4,1100,"Four Star Sales, Agent for St. Simon Place, LLC ","","Persisten","03/27/2022","B",Colt,"Persisten","Complexity","Diamond Maker","","","","Weanling","R.N.A. (45,000)",---
4,1101,"Hidden Brook, Agent VIII ","","Dias Y Flores (ARG)","10/10/2014","GR/RO",Mare,"Dias Y Flores (ARG)","Exchange Rate","Welcometotheworld","Candy Ride (ARG)","04/27/2022","pregnant","Broodmare","Triple T. Ranch",95000
4,1102,"Hidden Brook, Agent VIII ","","Ruggles","02/11/2022","DB/BR",Colt,"Ruggles","Mastery","Dias Y Flores (ARG)","","","","Weanling","R.N.A. (0)",---
4,1103,"Hidden Brook, Agent for Bonne Chance Farm, LLC ","","Diavola (GB)","02/18/2011","B",Mare,"Diavola (GB)","Duke of Marmalade (IRE)","Dalasyla (IRE)","Twirling Candy","03/23/2022","pregnant","Broodmare","Blue Sky, Agent for Abdulrahman Alsayed",35000
4,1104,"Hidden Brook, Agent XVIII ","","Divine Story","03/10/2018","DB/BR",Mare,"Divine Story","Carpe Diem","Brianna Rose","Audible","02/23/2022","pregnant","Broodmare","Valerie Dailey",40000
4,1105,"Grovendale Sales, Agent V ","","Omaha Beach --- Double Date","03/11/2022","CH",Colt,"","Omaha Beach","Double Date","","","","Weanling","Global Racing LLC",30000
4,1106,"Legacy Bloodstock, Agent XL ","","Dreamer's Music","03/28/2022","B",Filly,"Dreamer's Music","Maclean's Music","Dreamer's Prospect","","","","Weanling","M & M Stable",40000
4,1107,"Scott Mallory, Agent IX ","","Maclean's Music --- Drip Brew","03/22/2022","DB/BR",Colt,"","Maclean's Music","Drip Brew","","","","Weanling","Buena Madera",95000
4,1108,"Vinery Sales, Agent LXXII ","","Duff One","04/02/2011","B",Mare,"Duff One","Harlan's Holiday","Acadiana","Maclean's Music","05/14/2022","pregnant","Broodmare","R.N.A. (60,000)",---
4,1109,"Vinery Sales, Agent LXXII ","","Maclean's Music --- Duff One","04/10/2022","CH",Filly,"","Maclean's Music","Duff One","","","","Weanling","Stone Bridge Investments",47000
4,1110,"Four Star Sales, Agent ","","Durango","03/17/2013","B",Mare,"Durango","First Samurai","Superduper Miss","Daredevil","04/18/2022","pregnant","Broodmare","Richard Barton Enterprises",30000
4,1111,"Grovendale Sales, Agent ","","Dynamic Justice","01/14/2016","B",Mare,"Dynamic Justice","Lantana Mob","Rare Cat","Silver State","02/28/2022","pregnant","Broodmare","R.N.A. (27,000)",---
4,1112,"Winter Quarter Farm, Agent for Oak Bluff Stable ","","Easter Rising","02/16/2017","B",Mare,"Easter Rising","Declaration of War","Fahamore","Audible","04/07/2022","pregnant","Broodmare","Crestwood Farm",80000
4,1113,"Vinery Sales, Agent XLIII ","","Easy Silence","04/25/2018","B",Mare,"Easy Silence","Constitution","Lavender Sky","Maclean's Music","04/21/2022","pregnant","Broodmare","Natalma",140000
4,1114,"Claiborne Farm, Agent ","","Editor At Large (IRE)","02/10/2018","CH",Mare,"Editor At Large (IRE)","Lope de Vega (IRE)","What Say You (IRE)","Raging Bull (FR)","04/09/2022","pregnant","Broodmare","Epona Bloodstock LTD.",360000
4,1115,"Bluewater Sales LLC, Agent XII ","","Eileen's Song","05/10/2015","DB/BR",Mare,"Eileen's Song","Kitten's Joy","Rutherienne","Essential Quality","03/28/2022","pregnant","Broodmare","Hinkle Farms",190000
4,1116,"Bluewater Sales LLC, Agent XII ","","Twirling Candy --- Eileen's Song","02/25/2022","DB/BR",Filly,"","Twirling Candy","Eileen's Song","","","","Weanling","Dudley Racing",65000
4,1117,"Lane's End, Agent ","","Erot","02/26/2022","B",Colt,"Erot","Uncle Mo","Elitiste (IRE)","","","","Weanling","Out",0
4,1118,"Greenfield Farms, Agent II ","","Elke Do Jaguarete (BRZ)","10/17/2016","B",Mare,"Elke Do Jaguarete (BRZ)","Public Purse","Flower Fest (BRZ)","","","","Racing or Broodmare Prospect","Grumpa Bloodstock",4500
4,1119,"Lane's End, Agent ","","Vekoma --- Empire Angel","02/18/2022","CH",Filly,"","Vekoma","Empire Angel","","","","Weanling","Out",0
4,1120,"Pope McLean (Crestwood Farm), Agent II ","","Encore Performance","04/26/2020","B",Filly,"Encore Performance","Oscar Performance","Foolish Gal","","","","Broodmare Prospect","SGV, Agt. for Vekoma Thoroughbreds",18000
4,1121,"Mill Ridge Sales, Agent for Juddmonte ","","Estole","02/08/2019","B",Filly,"Estole","Union Rags","Calm Water","","","","Broodmare Prospect","Out",0
4,1122,"Taylor Made Sales Agency, Agent CXLII ","","Examination","03/23/2019","GR/RO",Mare,"Examination","Pioneerof the Nile","Always Auditioning","Catholic Boy","03/16/2022","pregnant","Broodmare","R.N.A. (40,000)",---
4,1123,"Vinery Sales, Agent for HREH, Raised at Springhill Equine","","Cecco","03/26/2022","GR/RO",Colt,"Cecco","Caravaggio","Factor Around","","","","Weanling","Mike Akers, Agent",47000
4,1124,"Highgate Sales, Agent VI ","","Fend","03/29/2016","B",Mare,"Fend","Street Sense","Goaltending","Not This Time","03/26/2022","pregnant","Broodmare","Rock Ridge Thoroughbreds, LLC",200000
4,1125,"Highgate Sales, Agent VI ","","Outwork --- Fend","02/27/2022","B    ",Colt,"","Outwork","Fend","","","","Weanling","Samuel Guerra",10000
4,1126,"Legacy Bloodstock, Agent XXI ","","Festival","05/02/2018","B",Mare,"Festival","Hard Spun","Fallseed","Blame","03/26/2022","pregnant","Broodmare","Carlos Felice, Blacktype Bldstk Agt. (ARG)",32000
4,1127,"Vinery Sales, Agent XL ","","Mostakfi","02/13/2022","DB/BR",Colt,"Mostakfi","Global Campaign","Fiftyplustip","","","","Weanling","Out",0
4,1128,"Vinery Sales, Agent XXIII ","","Filibustin","03/17/2014","DB/BR",Mare,"Filibustin","Bustin Stones","Sweet Aloha","Omaha Beach","02/23/2022","pregnant","Broodmare","Crestwood Farm",87000
4,1129,"Claiborne Farm, Agent ","","First Date","04/12/2018","B",Mare,"First Date","Tiznow","Glencoe Girl","Silver State","02/18/2022","pregnant","Broodmare","Carlos Felice, Blacktype Bldstk Agt. (ARG)",40000
4,1130,"Claiborne Farm, Agent ","","Firsthand Report","04/04/2013","DB/BR",Mare,"Firsthand Report","Blame","Kinsey","Silver State","03/31/2022","pregnant","Broodmare","Out",0
4,1131,"Lane's End, Agent ","","Five Pics Please","03/30/2018","DB/BR",Filly,"Five Pics Please","Cinco Charlie","No Pictures Please","","","","Broodmare Prospect","R.N.A. (65,000)",---
4,1132,"Vinery Sales, Agent LXXII ","","Rickie Roooo Ster","04/06/2022","CH",Colt,"Rickie Roooo Ster","Union Rags","Flash Forward","","","","Weanling","Hennessy Bloodstock",30000
4,1133,"Mill Ridge Sales, Agent ","","Flatter Me Owen","02/16/2016","DB/BR",Mare,"Flatter Me Owen","Flatter","Cape Cod Bay","Vekoma","02/25/2022","pregnant","Broodmare","Out",0
4,1134,"Mill Ridge Sales, Agent ","","Vekoma --- Flatter Me Owen","01/26/2022","DB/BR",Filly,"","Vekoma","Flatter Me Owen","","","","Weanling","C & S Thoroughbreds, Agent for Ramon Tallaj, MD",47000
4,1135,"Lisa and Tim Turney, Agent III ","","Captain Fancy","03/01/2022","DB/BR",Colt,"Captain Fancy","Mendelssohn","Flautist","","","","Weanling","R.N.A. (47,000)",---
4,1136,"Bluewater Sales LLC, Agent IX ","","Bolt d'Oro --- Flin Flon","03/15/2022","B",Filly,"","Bolt d'Oro","Flin Flon","","","","Weanling","Little Dog Farm",60000
4,1137,"Highgate Sales, Agent XXV ","","Fling","04/29/2019","DB/BR",Mare,"Fling","Speightstown","Disposablepleasure","Violence","03/18/2022","pregnant","Broodmare","Spring Farm",30000
4,1138,"Four Star Sales, Agent ","","Fantastik Mischief","02/16/2022","B",Colt,"Fantastik Mischief","Audible","Flume","","","","Weanling","Eaton Sales, Agent",75000
4,1139,"Stone Farm, Agent ","","Foolery","05/28/2018","CH",Mare,"Foolery","Distorted Humor","Firefly","Game Winner","05/04/2022","pregnant","Broodmare","Walnut Green",75000
4,1140,"Hartwell Farm, Agent IX ","","Audible --- Fortune Pearl","01/27/2022","B",Filly,"","Audible","Fortune Pearl","","","","Weanling","Christina R. Jelm, Agent",125000
4,1141,"Grovendale Sales, Agent X ","","Foxycall","04/08/2018","B",Mare,"Foxycall","Overanalyze","Foxcaller","Volatile","02/19/2022","pregnant","Broodmare","Blue & Gold Stable",65000
4,1142,"Lisa and Tim Turney, Agent IV ","","Nimble Boy","02/19/2022","DB/BR",Colt,"Nimble Boy","Upstart","Funfortheholidays","","","","Weanling","Nina Gueorguieva, Agent ",32000
4,1143,"Taylor Made Sales Agency, Agent XCIII ","","Tiz the Law --- Funny Moon","03/05/2022","DB/BR",Filly,"","Tiz the Law","Funny Moon","","","","Weanling","Valley View Ranch",60000
4,1144,"Taylor Made Sales Agency, Agent CIV ","","Furia Vikinga (CHI)","08/04/2016","CH",Mare,"Furia Vikinga (CHI)","Scat Daddy","Cheeky","Connect","02/19/2022","pregnant","Broodmare","Chad Schumer, Agent",65000
4,1145,"Pope McLean (Crestwood Farm), Agent XVII ","","Financial Whiz","03/07/2022","GR/RO",Colt,"Financial Whiz","Improbable","Gatorette","","","","Weanling","Out",0
4,1146,"Taylor Made Sales Agency, Agent LXXIV ","","Summer of George","04/07/2022","DB/BR",Colt,"Summer of George","Authentic","Giant's Causey","","","","Weanling","R.N.A. (195,000)",---
4,1147,"Taylor Made Sales Agency, Agent LXXIV ","","Giant's Causey","05/17/2014","CH",Mare,"Giant's Causey","Giant's Causeway","Binya (GER)","Rock Your World","05/19/2022","pregnant","Broodmare","George E Bates Trustee",32000
4,1148,"Taylor Made Sales Agency, Agent for Ken Page ","","Time to Shine","03/11/2022","DB/BR",Filly,"Time to Shine","Not This Time","Glorified","","","","Weanling","Remount Thoroughbreds / Hoby Kight, Agent",200000
4,1149,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for STH LLC","","Golden Coast","02/15/2019","B",Mare,"Golden Coast","Ghostzapper","Mighty Eros","Silver State","04/19/2022","pregnant","Broodmare","Steve Kemp",50000
4,1150,"Taylor Made Sales Agency, Agent CXLII ","","Not This Time --- Golden Muscade","04/20/2022","B",Colt,"","Not This Time","Golden Muscade","","","","Weanling","Out",0
4,1151,"Taylor Made Sales Agency, Agent CXLII ","","Golden Muscade","03/15/2013","B",Mare,"Golden Muscade","Medaglia d'Oro","Kinda Spicy","McKinzie","05/08/2022","pregnant","Broodmare","R.N.A. (50,000)",---
4,1152,"Ballysax Bloodstock, Agent for a Partnership ","","Golden Owl","02/23/2018","B",Mare,"Golden Owl","War Front","Tell Me Now (IRE)","Tiz the Law","04/21/2022","pregnant","Broodmare","R.N.A. (55,000)",---
4,1153,"Taylor Made Sales Agency, Agent CIV ","","Golden Star Lady","03/20/2017","B",Mare,"Golden Star Lady","Candy Ride (ARG)","Empressive Lady","Yaupon","04/29/2022","pregnant","Broodmare","Charles Deters",130000
4,1154,"Lane's End, Agent ","","Gold for Kitten","01/23/2018","B",Filly,"Gold for Kitten","Kitten's Joy","Olympic Avenue","","","","Racing or Broodmare Prospect","Out",0
4,1155,"Garrencasey Sales LLC, Agent VII ","","Cornicello","05/20/2022","B",Filly,"Cornicello","Caravaggio","Good Omen","","","","Weanling","Red Bud LLC",7000
4,1156,"Hidden Brook, Agent XXVIII ","","Complexity --- Graceful Rage","03/31/2022","DB/BR",Colt,"","Complexity","Graceful Rage","","","","Weanling","D K W Racing",70000
4,1157,"Taylor Made Sales Agency, Agent CIV ","","Gran Cherry","04/13/2014","B",Mare,"Gran Cherry","First Dude","Poppy's Baby Girl (GB)","Rock Your World","03/07/2022","pregnant","Broodmare","Tracy Farmer",70000
4,1158,"Taylor Made Sales Agency, Agent CIV ","","Maclean's Music --- Gran Cherry","02/13/2022","B",Filly,"","Maclean's Music","Gran Cherry","","","","Weanling","Lee Pokoik",90000
4,1159,"Bluewater Sales LLC, Agent VII ","","Great Warrior (IRE)","03/13/2018","B",Mare,"Great Warrior (IRE)","War Front","Great Page (IRE)","Improbable","03/25/2022","pregnant","Broodmare","BBA Ireland",35000
4,1160,"Lane's End, Agent ","","Guarded Secret","02/11/2017","B",Mare,"Guarded Secret","Tiznow","Bold Union","Vino Rosso","04/16/2022","pregnant","Broodmare","Richard Barton Enterprises",65000
4,1161,"Vinery Sales, Agent LXXII ","","Guilty Verdict","03/12/2011","B",Mare,"Guilty Verdict","Medaglia d'Oro","Smuggler","Maclean's Music","03/17/2022","pregnant","Broodmare","R.N.A. (70,000)",---
4,1162,"Taylor Made Sales Agency, Agent CXLII ","","Halama","01/24/2017","DB/BR",Mare,"Halama","Pioneerof the Nile","Milania","Violence","04/19/2022","pregnant","Broodmare","Rick Foster",70000
4,1163,"Lane's End, Agent ","","Hannah's Haven","02/09/2019","DB/BR",Filly,"Hannah's Haven","Street Sense","Miss Hetty","","","","Racing or Broodmare Prospect","Hugh Moore",8000
4,1164,"Taylor Made Sales Agency, Agent LVIII ","","Happy Hour Joker","02/05/2022","B",Filly,"Happy Hour Joker","Practical Joke","Happy Hour Honey","","","","Weanling","R.N.A. (60,000)",---
4,1165,"Four Star Sales, Agent for D.C. Goff ","","Complexity --- Harlee Honey","02/09/2022","DB/BR",Colt,"","Complexity","Harlee Honey","","","","Weanling","C & S Thoroughbreds, Agent for Ramon Tallaj, MD",27000
4,1166,"Four Star Sales, Agent ","","Kalil","03/31/2022","B",Filly,"Kalil","Practical Joke","Hatpin","","","","Weanling","Out",0
4,1167,"Legacy Bloodstock, Agent XXII ","","Nuanced","01/26/2022","B",Colt,"Nuanced","Complexity","Haven","","","","Weanling","Tulip Stables",130000
4,1168,"Hidden Brook, Agent III ","","Hawana","03/24/2014","B",Mare,"Hawana","War Front","Tare Green","Nyquist","05/19/2022","pregnant","Broodmare","Out",0
4,1169,"Claiborne Farm, Agent ","","Heath","04/28/2012","CH",Mare,"Heath","Pulpit","Greenery","War of Will","04/13/2022","pregnant","Broodmare","Richard Barton Enterprises",35000
4,1170,"Taylor Made Sales Agency, Agent for Farfellow Farms Ltd. ","","Catholic Boy --- Hennythelovepenny","02/11/2022","CH",Filly,"","Catholic Boy","Hennythelovepenny","","","","Weanling","Out",0
4,1171,"Taylor Made Sales Agency, Agent for Farfellow Farms Ltd. ","","Hennythelovepenny","03/17/2012","CH",Mare,"Hennythelovepenny","Henny Hughes","Amaretta","McKinzie","03/10/2022","pregnant","Broodmare","Pin Oak Stud",52000
4,1172,"Grovendale Sales, Agent IV ","","Here Here","02/14/2018","GR/RO",Mare,"Here Here","Frosted","Now Now","Omaha Beach","03/03/2022","pregnant","Broodmare","Carlos Felice, Blacktype Bldstk Agt. (ARG)",50000
4,1173,"Vinery Sales, Agent for HREH, Raised at Springhill Equine","","Vekoma --- Hidden Facts","03/19/2022","B    ",Colt,"","Vekoma","Hidden Facts","","","","Weanling","Big Bear Bloodstock",100000
4,1174,"Stone Farm, Agent ","","Hottalabamba","02/04/2015","B",Mare,"Hottalabamba","Into Mischief","So Long Sonoma","Collected","04/21/2022","pregnant","Broodmare","Bluegrass Thor. Services, Agent",20000
4,1175,"Castle Park Farm LLC (Noel Murphy), Agent XX ","","How","03/28/2010","B",Mare,"How","Indian Charlie","Blink Twice","Good Magic","05/17/2022","pregnant","Broodmare","Bloodstock Analysis ",60000
4,1176,"Stonehaven Steadings ","","Hypernova","04/12/2018","DB/BR",Filly,"Hypernova","Violence","Cosmic Emergency","","","","Racing or Broodmare Prospect","Machmer Hall",105000
4,1177,"Four Star Sales, Agent ","","Al Ssalt","04/25/2022","CH",Colt,"Al Ssalt","Maximum Security","Iboughtheranyway","","","","Weanling","Forever Spring Farm, LLC",25000
4,1178,"Hidden Brook, Agent XLIII ","","Party At the Post","01/29/2022","DB/BR",Filly,"Party At the Post","Caravaggio","Ideational","","","","Weanling","KINNZE Thoroughbreds",45000
4,1179,"Bluewater Sales LLC, Agent VII ","","I Get It","04/21/2018","B",Filly,"I Get It","Get Stormy","Twisted Beauty","","","","Racing or Broodmare Prospect","William Johnson Bloodstock",170000
4,1180,"Four Star Sales, Agent ","","I Hear You","03/10/2017","DB/BR",Mare,"I Hear You","Street Sense","Overheard","","","","Broodmare Prospect","Linda S. Pavey",130000
4,1181,"Vinery Sales, Agent XXXVIII ","","I Love Shopping","02/21/2016","DB/BR",Mare,"I Love Shopping","Violence","Shoppers Return","Vekoma","03/04/2022","pregnant","Broodmare","Spiranac Bloodstock",47000
4,1182,"Lane's End, Agent for Juddmonte ","","Imposition","05/02/2018","B",Mare,"Imposition","American Pharoah","Reimpose","Tacitus","04/07/2022","pregnant","Broodmare","Kelly Mahoney",140000
